Threshold (min),Income quintile,Population,Accessibility,Population (Equity),Accessibility (Equity),Accessibility score (Difference),%Increase
3,Bottom 20%,165773,0.013,165773,0.014,0.001,8%
3,Second 20%,162975,0.008,162975,0.009,0.001,13%
3,Third 20%,166795,0.006,166795,0.006,0,0%
3,Fourth 20%,163455,0.009,163455,0.009,0,0%
3,Top 20%,170055,0.012,170055,0.012,0,0%
5,Bottom 20%,165773,0.016,165773,0.017,0.001,6%
5,Second 20%,162975,0.022,162975,0.024,0.002,9%
5,Third 20%,166795,0.014,166795,0.014,0,0%
5,Fourth 20%,163455,0.026,163455,0.026,0,0%
5,Top 20%,170055,0.032,170055,0.032,0,0%
10,Bottom 20%,165773,0.018,165773,0.019,0.001,6%
10,Second 20%,162975,0.019,162975,0.02,0.001,5%
10,Third 20%,166795,0.018,166795,0.018,0,0%
10,Fourth 20%,163455,0.023,163455,0.023,0,0%
10,Top 20%,170055,0.05,170055,0.05,0,0%
15,Bottom 20%,165773,0.019,165773,0.021,0.002,11%
15,Second 20%,162975,0.017,162975,0.017,0,0%
15,Third 20%,166795,0.015,166795,0.016,0.001,7%
15,Fourth 20%,163455,0.018,163455,0.019,0.001,6%
15,Top 20%,170055,0.043,170055,0.043,0,0%
