Threshold (min),Income quintile,Population,Accessibility score
3,Bottom 20%,165773,0.014
3,Second 20%,162975,0.009
3,Third 20%,166795,0.006
3,Fourth 20%,163455,0.009
3,Top 20%,170055,0.012
5,Bottom 20%,165773,0.017
5,Second 20%,162975,0.024
5,Third 20%,166795,0.014
5,Fourth 20%,163455,0.026
5,Top 20%,170055,0.032
10,Bottom 20%,165773,0.019
10,Second 20%,162975,0.02
10,Third 20%,166795,0.018
10,Fourth 20%,163455,0.023
10,Top 20%,170055,0.05
15,Bottom 20%,165773,0.021
15,Second 20%,162975,0.017
15,Third 20%,166795,0.016
15,Fourth 20%,163455,0.019
15,Top 20%,170055,0.043
