GEOID,median_income,BFCA_15min,inc_q,acc_q
06075060502,42548,0.0010565878406287546,0,0
06075026002,119038,0.0037133888532169547,0,0
06075026003,99044,0.0023372597005085734,0,0
06075023200,111597,0.006490870700276602,0,0
06075026301,102131,0.0025744448201267182,0,0
06075032802,113092,0.002698008848571086,0,0
06075061000,125327,0.00019849080822148928,0,0
06075026404,83500,0.00019312475859405175,0,0
06075026403,73750,0.00019312475859405175,0,0
06075025800,82546,0.002287485311382471,0,0
06075042700,119276,0.005425623570328823,0,0
06075026100,123070,0.007003522115534433,0,0
06075980200,-666666666,0.002044897015070711,0,0
06075011001,117750,0.00758736819986173,0,0
06075025600,114250,0.0029821324368817575,0,0
06075060400,100583,0.001426126640045636,0,0
06075026302,99091,0.0014940932947656855,0,0
06075026303,94167,0.0011887568958862949,0,0
06075017903,91750,0.0,0,0
06075031201,107648,0.009226242683911836,0,0
06075033203,74671,0.009413227713313481,0,0
06075031401,102644,0.00635664831782012,0,0
06075011102,101976,0.007177982578011824,0,0
06075025702,104250,0.002088994503160982,0,0
06075033204,71750,0.009413227713313481,0,0
06075980501,13569,0.0004125185633353501,0,0
06075023400,80788,0.0031837800325742955,0,0
06075026401,80563,0.00019312475859405175,0,0
06075026001,119088,0.005624546416644234,0,0
06075012002,71619,0.008940535516033042,0,0
06075012001,91040,0.0077878170242703555,0,0
06075032902,113265,0.006735967176360744,0,0
06075011101,112418,0.006258283822686488,0,0
06075026402,117230,0.00045760473372986584,0,0
06075023300,92574,0.004987133405550512,0,0
